Threshold,Hit_e,Miss_e,FA_e,Hit_c,Miss_c,FA_c
-0.250,0,100,0,0,100,0
-0.245,0,100,0,0,100,0
-0.240,0,100,0,0,100,0
-0.235,4,96,0,0,100,0
-0.230,4,96,0,0,100,0
-0.225,4,96,0,0,100,0
-0.220,4,96,0,0,100,0
-0.215,4,96,0,0,100,0
-0.210,4,96,0,0,100,0
-0.205,6,94,0,0,100,0
-0.200,8,92,0,0,100,0
-0.195,8,92,0,0,100,0
-0.190,8,92,0,0,100,0
-0.185,12,88,2,0,100,0
-0.180,22,78,2,2,98,0
-0.175,26,74,2,4,96,0
-0.170,28,72,2,4,96,0
-0.165,32,68,4,4,96,0
-0.160,32,68,6,12,88,2
-0.155,38,62,12,18,82,4
-0.150,48,52,16,28,72,4
-0.145,58,42,24,32,68,6
-0.140,62,38,30,34,66,8
-0.135,64,36,38,46,54,16
-0.130,68,32,40,56,44,22
-0.125,70,30,48,64,36,34
-0.120,74,26,56,74,26,38
-0.115,76,24,66,74,26,50
-0.110,78,22,72,78,22,54
-0.105,78,22,74,78,22,66
-0.100,80,20,74,78,22,72
-0.095,78,20,74,78,22,72
-0.090,78,20,74,78,22,72
-0.085,76,20,74,74,22,72
-0.080,72,20,74,74,22,72
-0.075,70,20,74,72,22,72
-0.070,70,20,74,72,22,72
-0.065,68,20,74,68,22,72
-0.060,66,20,74,66,22,72
-0.055,62,20,74,64,22,72
-0.050,62,20,74,62,22,72
-0.045,60,20,74,58,22,72
-0.040,60,20,74,54,22,72
-0.035,56,20,74,54,22,72
-0.030,56,20,74,52,22,72
-0.025,52,20,74,52,22,72
-0.020,50,20,74,52,22,72
-0.015,50,20,74,46,22,72
-0.010,48,20,74,40,22,72
-0.005,46,20,74,34,22,72
0.000,44,20,74,30,22,72
0.005,44,0,100,26,0,100
0.010,38,0,100,22,0,100
0.015,38,0,100,20,0,100
0.020,32,0,100,16,0,100
0.025,30,0,100,14,0,100
0.030,26,0,100,14,0,100
0.035,20,0,100,12,0,100
0.040,16,0,100,10,0,100
0.045,12,0,100,6,0,100
0.050,12,0,100,6,0,100
0.055,12,0,100,4,0,100
0.060,4,0,100,2,0,100
0.065,2,0,100,2,0,100
0.070,2,0,100,2,0,100
0.075,2,0,100,2,0,100
0.080,2,0,100,0,0,100
0.085,2,0,100,0,0,100
0.090,2,0,100,0,0,100
0.095,2,0,100,0,0,100
0.100,2,0,100,0,0,100
0.105,2,0,100,0,0,100
0.110,2,0,100,0,0,100
0.115,2,0,100,0,0,100
0.120,2,0,100,0,0,100
0.125,0,0,100,0,0,100
0.130,0,0,100,0,0,100
0.135,0,0,100,0,0,100
0.140,0,0,100,0,0,100
0.145,0,0,100,0,0,100
0.150,0,0,100,0,0,100
0.155,0,0,100,0,0,100
0.160,0,0,100,0,0,100
0.165,0,0,100,0,0,100
0.170,0,0,100,0,0,100
0.175,0,0,100,0,0,100
0.180,0,0,100,0,0,100
0.185,0,0,100,0,0,100
0.190,0,0,100,0,0,100
0.195,0,0,100,0,0,100
0.200,0,0,100,0,0,100
0.205,0,0,100,0,0,100
0.210,0,0,100,0,0,100
0.215,0,0,100,0,0,100
0.220,0,0,100,0,0,100
0.225,0,0,100,0,0,100
0.230,0,0,100,0,0,100
0.235,0,0,100,0,0,100
0.240,0,0,100,0,0,100
0.245,0,0,100,0,0,100
0.250,0,0,100,0,0,100
