Threshold,Hit_e,Miss_e,FA_e
-0.250,100,100,0
-0.245,100,100,0
-0.240,100,100,0
-0.235,102,96,2
-0.230,102,96,2
-0.225,102,96,2
-0.220,102,96,2
-0.215,102,96,2
-0.210,102,96,2
-0.205,104,94,2
-0.200,106,92,2
-0.195,106,92,2
-0.190,106,92,2
-0.185,110,86,4
-0.180,120,76,4
-0.175,126,70,4
-0.170,130,66,4
-0.165,134,60,6
-0.160,130,58,12
-0.155,130,50,20
-0.150,134,40,26
-0.145,138,28,34
-0.140,136,24,40
-0.135,126,20,54
-0.130,128,14,58
-0.125,124,10,66
-0.120,120,6,74
-0.115,106,4,90
-0.110,100,2,98
-0.105,98,2,100
-0.100,100,0,100
-0.095,98,0,100
-0.090,98,0,100
-0.085,96,0,100
-0.080,92,0,100
-0.075,88,0,100
-0.070,88,0,100
-0.065,82,0,100
-0.060,80,0,100
-0.055,74,0,100
-0.050,72,0,100
-0.045,68,0,100
-0.040,66,0,100
-0.035,62,0,100
-0.030,62,0,100
-0.025,58,0,100
-0.020,56,0,100
-0.015,56,0,100
-0.010,52,0,100
-0.005,50,0,100
0.000,48,0,100
0.005,46,0,100
0.010,40,0,100
0.015,40,0,100
0.020,34,0,100
0.025,32,0,100
0.030,28,0,100
0.035,20,0,100
0.040,16,0,100
0.045,12,0,100
0.050,12,0,100
0.055,12,0,100
0.060,4,0,100
0.065,2,0,100
0.070,2,0,100
0.075,2,0,100
0.080,2,0,100
0.085,2,0,100
0.090,2,0,100
0.095,2,0,100
0.100,2,0,100
0.105,2,0,100
0.110,2,0,100
0.115,2,0,100
0.120,2,0,100
0.125,0,0,100
0.130,0,0,100
0.135,0,0,100
0.140,0,0,100
0.145,0,0,100
0.150,0,0,100
0.155,0,0,100
0.160,0,0,100
0.165,0,0,100
0.170,0,0,100
0.175,0,0,100
0.180,0,0,100
0.185,0,0,100
0.190,0,0,100
0.195,0,0,100
0.200,0,0,100
0.205,0,0,100
0.210,0,0,100
0.215,0,0,100
0.220,0,0,100
0.225,0,0,100
0.230,0,0,100
0.235,0,0,100
0.240,0,0,100
0.245,0,0,100
0.250,0,0,100
